name,star_name,star_age,star_age_error_min,star_age_error_max,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
KELT-25 b,KELT-25,0.46,0.12,0.14,Confirmed,21.0,20.0,43.0,,,,1.642,0.43,0.39,4.401131,5.9e-05,5.9e-05,0.0681,0.0011,0.0012,,,,85.37,0.42,0.55,,2020,2020-03-26,,,,,5.9e-05,5.9e-05,,,,2458493.31501,0.00037,0.00037,,,,23.4,2.3,3.2,0.522,0.048,0.034,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,Radial Velocity,Primary Transit,,,108.123125169974,-24.9535616681318,9.63,,,,,442.7,7.3,7.6,0.3,0.21,0.13,2.18,0.11,0.12,2.264,0.052,0.048,A,8280.0,180.0,440.0,,,"CD-24 5016, TOI 626"
KELT-3 Ab,KELT-3 A,3.0,0.2,0.2,Confirmed,1.47,0.07,0.07,,,,1.35,0.07,0.07,2.7033904,1e-06,1e-06,0.04117,0.00067,0.00067,0.0,,,84.6,0.4,0.4,,2012,2024-09-06,,,,,,,,,,2456707.43825,0.000207,0.000207,,,,-5.0,4.0,4.0,0.61,0.05,0.04,,,,,,,,,,,,,,,3.296,Submitted to a professional journal,Primary Transit,Radial Velocity,Primary Transit,TOI-1766.01,,148.6417,40.3881,9.8,,8.96,8.73,8.66,210.252,5.4075,5.4075,0.048,0.081,0.081,1.34,0.219,0.219,1.61,0.0827,0.0827,F5IV-V,6518.0,123.728,123.728,,,"BD+41 2024, TOI-1766"
KELT-4 Ab,KELT-4 A,4.38,0.88,0.81,Confirmed,0.9,0.06,0.06,0.878,0.067,0.07,1.7,0.05,0.05,2.989594,5e-06,5e-06,0.04321,0.00077,0.00085,0.03,0.021,0.016,83.11,0.57,0.48,,2013,2024-09-06,300.0,130.0,110.0,2456190.30201,0.00022,0.00022,,,,,,,2456188.815,0.032,0.047,80.0,25.0,25.0,0.689,0.0012,0.0012,,,,108.6,7.4,7.4,1827.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Primary Transit,"BD+26 2091 Ab, TOI-5384.01",,157.062545838,25.573194461,9.98,,9.01,8.79,8.69,211.0,13.0,13.0,-0.116,0.071,0.067,1.204,0.063,0.072,1.61,0.068,0.078,F8IV,6207.0,76.0,76.0,,,"BD+26 2091 A, TOI-5384"
KELT-6 b,KELT-6,4.9,0.46,0.66,Confirmed,0.44,0.02,0.02,,,,1.13,0.1,0.1,7.8456067,9.6e-06,9.6e-06,0.0747,0.0075,0.0075,0.029,0.016,0.016,88.14,0.8,1.0,,2013,2024-08-02,308.0,272.0,30.0,,,,,,,2458936.8463,0.00065,0.00065,,,,324.0,11.0,11.0,0.34,0.18,0.18,,,,41.8,1.1,1.1,1366.0,31.0,38.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,195.9833,30.64,10.38,,,,,,,,-0.27,0.06,0.06,1.126,0.058,0.058,1.529,0.137,0.143,F,6272.0,61.0,61.0,,,
KELT-6 c,KELT-6,4.9,0.46,0.66,Confirmed,,0.21,0.21,3.71,0.21,0.21,,,,1276.0,67.0,81.0,2.39,0.11,0.11,0.21,0.04,0.04,,,,,2015,2015-08-27,268.7,8.8,8.8,,,,,,,,,,,,,,,,,,,,,,65.7,2.5,2.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,195.9833,30.64,10.38,,,,,,,,-0.27,0.06,0.06,1.126,0.058,0.058,1.529,0.137,0.143,F,6272.0,61.0,61.0,,,
KELT-7 b,KELT-7,1.3,0.2,0.2,Confirmed,1.24,0.18,0.18,,,,1.293,0.06,0.06,2.734784,9e-06,9e-06,0.0446,0.0013,0.0013,,,,83.92,0.0039,0.0039,,2015,2022-09-16,,,,,,,,,,2458816.51839,5.1e-05,5.1e-05,2456222.5918,0.0017,0.0017,,2.7,2.7,0.59178,0.00039,0.00039,,,,138.0,19.0,19.0,2048.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,"H, H2O",78.295833337,33.318055563,8.54,,,,,129.0,8.0,8.0,0.139,0.08,0.08,1.535,0.066,0.054,1.732,0.045,0.045,,6789.0,50.0,50.0,,,
KELT-8 b,KELT-8,5.4,0.5,0.5,Confirmed,0.874,0.067,0.068,0.867,0.065,0.065,1.86,0.18,0.18,3.24406,0.00016,0.00016,0.04571,0.00084,0.00096,0.035,0.025,0.05,82.65,1.0,0.8,,2015,2025-07-04,85.0,97.0,87.0,2456870.47,0.86,0.75,,,,2456883.4803,0.0007,0.0007,2456868.886,0.043,0.049,,,,0.763,0.057,0.097,,,,104.0,6.4,6.4,1675.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,H2O,283.304166671,24.127500011,10.83,,,,,236.0,9.0,9.0,0.27,0.04,0.04,1.211,0.066,0.078,1.67,0.14,0.14,G2IV,5754.0,55.0,55.0,,,HD 343246
KELT-9 Ab,KELT-9 A,0.3,,,Confirmed,2.88,0.35,0.35,,,,1.936,0.047,0.047,1.4811235,1.1e-06,1.1e-06,0.03368,0.00078,0.00078,0.0,,,86.9,0.25,0.25,,2017,2024-08-04,,,,,,,,,,2458683.4449,8e-05,8e-05,2457095.18572,0.00014,0.00014,-85.0,15.0,15.0,,,,,,,293.0,32.0,32.0,3921.0,180.0,180.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"HD 195689 b, HD 195689 Ab, TOI-1150 b, TOI-1150.01","Ba, Ca, Cr, Cr II, Fe, Fe+, FeH, Fe II, H, H2, K, Mg, Na, NI, O, Sc, Sc II, Sr, Tb, Ti, Ti+, TiO, V, VO, Y II",307.859808384,39.9388262453,7.59,,7.46,7.49,7.48,204.455,1.558,1.582,-0.03,0.2,0.2,2.52,0.2,0.25,2.362,0.063,0.075,B9.5-A0V,10170.0,450.0,450.0,,,"HD 195689, TOI-1150"
KIC 7177553 (AB)b,KIC 7177553 (AB),0.034,0.002,0.002,Confirmed,,,,5.0,,,,,,529.0,,,1.61,,,0.46,,,,,,,2014,2024-08-12,201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,Timing,,,,283.0121198,42.7212587,11.25,,9.93,9.6,9.53,195.108,,,,,,1.043,0.014,0.014,0.94,0.005,0.005,G1V+G3V,5911.0,360.0,360.0,,,KOI-6837
KOI-4427 Ab,KOI-4427 A,3.6,2.6,1.3,Confirmed,,,,,,,0.164,0.021,0.021,147.6606,0.0014,0.0011,0.419,0.081,0.073,0.02,0.02,0.07,89.97,0.08,0.03,,2015,2024-08-04,,,,,,,,,,2455815.2616,0.0047,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"KOI-4427.01, KIC 4172805 b, 2MASS J19402813+3916267 b",,295.116666676,39.274166678,9.34,,,,,276.226,2.4705,2.4705,-0.07,0.14,0.14,0.553,0.02,0.02,0.559,0.017,0.017,M1V,3748.0,157.0,157.0,,,"KIC 4172805, 2MASS J19402813+3916267"
KOI-901 b,KOI-901,8.2,3.6,3.6,Confirmed,,,,,,,0.437,,,12.73,,,0.098,,,,,,88.81,,,,2013,2025-09-09,,,,,,,,,,2455009.939,2454832.999724,2454833.000276,,,,,,,0.7927,0.0627,0.0109,,,,,,,500.0,,,,,,,,,Announced on a website,Primary Transit,,,KOI-901.01,,285.16748,43.876339,,15.269,13.909,13.326,13.182,526.581,8.247,8.508,-0.14,0.11,0.11,0.67,,,0.725,,,K7V,4255.0,122.0,122.0,,,"KIC 8013419, 2MASS J19004019+4352348"
KOINTREAU-4 b,KOINTREAU-4,0.005,0.001,0.001,Confirmed,11.5,1.6,1.2,,,,,,,,,,182.0,2.0,2.0,,,,,,,,2026,2026-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,2MASS J16262785-2625152 b,,246.61608333333336,-26.42088888888889,,,,,,142.0,1.0,1.0,,,,,,,,,,M4.5,,,,,,"UCAC4 318-090278, 2MASS J16262785-2625152"
Kelu-1 b,Kelu-1,0.4,0.1,0.1,Confirmed,35.0,,,,,,,,,13870.0,2190.0,2920.0,6.4,1.3,2.4,0.82,0.1,0.1,84.9,2.0,1.0,,2005,2024-08-23,57.8,20.0,15.0,2452079.0,400.0,200.0,,,,,,,,,,,,,,,,,,,,,,1840.0,,,,,,,,,Published in a refereed paper,"Imaging, Astrometry",Astrometry,,,,196.4173510142496,-25.684920045875,,,,,,20.39,,,,,,0.081,,,,,,L2V,2020.0,,,,,"*V421 Hya, LIM 1, 2MASS J13054019-2541059"
Kepler-10 b,Kepler-10,10.6,1.5,1.5,Confirmed,0.01019,0.00101,0.00101,,,,0.1311,0.0018,0.0027,0.837491,2e-06,2e-06,0.01685,0.00013,0.00013,0.06,0.06,0.16,84.8,3.9,3.2,9.7e-05,2011,2025-10-26,,,,,,,,0.00018,0.00018,2455034.08687,0.00018,0.00018,,,,,,,0.3,0.2,0.21,,,,3.3,1.0,0.8,2188.0,16.0,16.0,,,0.58,0.25,0.23,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"KIC 11904151 b, WISE J190243.03+501429.1 b, TOI-5988.01, KOI-72 b, KOI-72.01, 2MASS J19024305+5014286 b",,285.679394,50.241299,11.16,,9.889,9.563,,186.5,0.81,0.81,-0.15,0.04,0.04,0.91,0.021,0.021,1.06,0.01,0.01,G3V,5708.0,28.0,28.0,,,"KIC 11904151, TOI-5988, KOI-72, 2MASS J19024305+5014286, WISE J190243.03+501429.1"
Kepler-10 c,Kepler-10,10.6,1.5,1.5,Confirmed,0.03552,0.0038,0.0038,,,,0.2101,0.00196,0.00196,45.2943,4.8e-05,4.8e-05,0.241,0.0019,0.0019,0.136,0.05,0.05,89.62,0.01,0.01,0.001391,2011,2025-02-13,330.0,23.0,31.0,,,,,,,2455062.26648,0.00081,0.00081,,,,282.0,3.0,3.0,,,,,,,1.41,0.23,0.25,579.0,4.0,4.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19024305+5014286 c, K00072.02, KIC 11904151 c, KOI-72 c, KOI-72.02, WISE J190243.03+501429.1  c",,285.679394,50.241299,11.16,,9.889,9.563,,186.5,0.81,0.81,-0.15,0.04,0.04,0.91,0.021,0.021,1.06,0.01,0.01,G3V,5708.0,28.0,28.0,,,"KIC 11904151, TOI-5988, KOI-72, 2MASS J19024305+5014286, WISE J190243.03+501429.1"
Kepler-10 d,Kepler-10,10.6,1.5,1.5,Confirmed,,0.00676,0.00676,0.038,0.00676,0.00676,,,,151.06,0.48,0.48,0.538,0.0044,0.0044,0.19,0.1,0.1,,,,,2023,2025-02-13,150.0,31.0,28.0,2457165.4,5.3,4.7,,,,,,,,,,,,,,,,,,,1.68,0.28,0.28,387.0,3.0,3.0,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,285.679394,50.241299,11.16,,9.889,9.563,,186.5,0.81,0.81,-0.15,0.04,0.04,0.91,0.021,0.021,1.06,0.01,0.01,G3V,5708.0,28.0,28.0,,,"KIC 11904151, TOI-5988, KOI-72, 2MASS J19024305+5014286, WISE J190243.03+501429.1"
Kepler-100 b,Kepler-100,6.46,0.56,0.46,Confirmed,0.023,0.01,0.01,0.0231,0.01,0.01,0.118,0.004,0.004,6.88705,,,,,,0.13,0.13,0.27,,,,,2014,2021-02-05,,,,,,,2454966.17797,,,,,,,,,,,,0.54,0.02,0.02,,,,1.9,0.8,0.8,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19253263+4159249 b, K00041.02, KIC 6521045 b, KOI-41 b, KOI-41.02, WISE J192532.66+415924.6  b",,291.385979,41.990273,,,10.081,9.804,,307.34,1.77,1.77,0.02,0.1,0.1,1.08,0.06,0.06,1.49,0.04,0.04,,5825.0,75.0,75.0,,,"KOI-41, 2MASS J19253263+4159249, KIC 6521045, WISE J192532.66+415924.6"
Kepler-100 c,Kepler-100,6.46,0.56,0.46,Confirmed,0.02218,,,0.0027,0.013,0.013,0.196,0.004,0.004,12.8159,,,,,,0.02,0.01,0.15,,,,,2014,2021-02-05,,,,,,,2454955.94713,,,,,,,,,,,,0.05,0.04,0.04,,,,0.18,0.8,0.8,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19253263+4159249 c, K00041.01, KIC 6521045 c, KOI-41 c, KOI-41.01, WISE J192532.66+415924.6  c",,291.385979,41.990273,,,10.081,9.804,,307.34,1.77,1.77,0.02,0.1,0.1,1.08,0.06,0.06,1.49,0.04,0.04,,5825.0,75.0,75.0,,,"KOI-41, 2MASS J19253263+4159249, KIC 6521045, WISE J192532.66+415924.6"
Kepler-100 d,Kepler-100,6.46,0.56,0.46,Confirmed,0.00944,,,0.0094,0.0094,0.0,0.144,0.004,0.004,35.3331,,,,,,0.38,0.16,0.12,,,,,2014,2021-02-05,,,,,,,2454986.98031,,,,,,,,,,,,0.75,0.01,0.01,,,,-0.79,1.0,1.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J19253263+4159249 d, K00041.03, KIC 6521045 d, KOI-41 d, KOI-41.03, WISE J192532.66+415924.6  d",,291.385979,41.990273,,,10.081,9.804,,307.34,1.77,1.77,0.02,0.1,0.1,1.08,0.06,0.06,1.49,0.04,0.04,,5825.0,75.0,75.0,,,"KOI-41, 2MASS J19253263+4159249, KIC 6521045, WISE J192532.66+415924.6"
Kepler-100 e,Kepler-100,6.46,0.56,0.46,Confirmed,,0.01,0.01,0.076,0.01,0.01,,,,60.89,0.04,0.04,0.31,,,0.026,0.026,0.13,,,,,2023,2024-02-24,,,,,,,,,,,,,,,,,,,,,,,,,3.69,0.5,0.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,291.385979,41.990273,,,10.081,9.804,,307.34,1.77,1.77,0.02,0.1,0.1,1.08,0.06,0.06,1.49,0.04,0.04,,5825.0,75.0,75.0,,,"KOI-41, 2MASS J19253263+4159249, KIC 6521045, WISE J192532.66+415924.6"
Kepler-1000 b,Kepler-1000,1.26,-0.18,0.33,Confirmed,,,,,,,0.425,0.028,0.03,120.0181272,0.0003628,0.0003628,,,,,,,,,,,2016,2021-02-05,,,,,,,2454967.18927,0.00268,0.00268,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19064452+4705535 b, K01888.01, KIC 10063802 b, KOI-1888 b, KOI-1888.01, WISE J190644.51+470553.5 b",,286.685523,47.098221,,,12.319,12.137,12.094,925.0,,,0.35,0.051,0.055,1.4,0.04,0.04,1.51,0.07,0.08,,6453.0,73.42,74.15,,,"2MASS J19064452+4705535, KIC 10063802, KOI-1888, WISE J190644.51+470553.5"
Kepler-1001 b,Kepler-1001,4.68,-2.93,5.87,Confirmed,,,,,,,0.281,0.043,0.03,14.30511983,4.34e-05,4.34e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454968.06626,0.00255,0.00255,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19050572+4837073 b, K01889.01, KIC 11074178 b, KOI-1889 b, KOI-1889.01, WISE J190505.73+483707.2 b",,286.273871,48.618706,,,14.109,13.718,13.662,1009.0,,,-0.03,0.17,0.139,0.9,0.04,0.04,0.88,0.06,0.09,,5491.0,68.91,66.16,,,"2MASS J19050572+4837073, KIC 11074178, KOI-1889, WISE J190505.73+483707.2"
Kepler-1001 c,Kepler-1001,4.68,-2.93,5.87,Confirmed,,,,,,,0.141,,,9.18186,,,,,,,,,,,,,2020,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19050572+4837073 c, K01889.02, KIC 11074178 c, KOI-1889 c, KOI-1889.02, WISE J190505.73+483707.2 c",,286.273871,48.618706,,,14.109,13.718,13.662,1009.0,,,-0.03,0.17,0.139,0.9,0.04,0.04,0.88,0.06,0.09,,5491.0,68.91,66.16,,,"2MASS J19050572+4837073, KIC 11074178, KOI-1889, WISE J190505.73+483707.2"
Kepler-1002 Ab,Kepler-1002 A,4.07,-0.5,0.72,Confirmed,,,,,,,0.1561,0.008,0.0062,4.33642933,6.95e-06,6.95e-06,0.0564,,,0.0,,,84.15,,,,2016,2024-07-28,,,,,,,2454966.854,0.00218,0.00218,,,,,,,,,,0.641,0.427,0.267,,,,,,,1453.0,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"WISE J193219.07+430425.3 b, KOI-1890 b, KOI-1890.01, K01890.01, KIC 7449136 b, 2MASS J19321907+4304253 b",,293.079495,43.073715,11.82,,10.689,10.449,10.374,427.83,17.6,17.6,0.12,0.15,0.15,1.275,0.128,0.064,1.603,0.082,0.057,F8IV,6180.0,74.0,80.0,,,"KIC 7449136, WISE J193219.07+430425.3, KOI-1890, 2MASS J19321907+4304253"
Kepler-1003 b,Kepler-1003,3.16,-1.4,2.0,Confirmed,,,,,,,0.159,0.02,0.043,3.55485691,6.71e-06,6.71e-06,,,,,,,,,,,2016,2021-02-05,,,,,,,2454964.80397,0.00163,0.00163,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19280490+4452343 b, K01893.01, KIC 8689793 b, KOI-1893 b, KOI-1893.01, WISE J192804.90+445234.4 b",,292.020456,44.876217,,,12.95,12.637,12.623,873.0,,,0.01,0.172,0.14,1.11,0.08,0.13,1.17,0.15,0.32,,6109.0,195.29,150.04,,,"2MASS J19280490+4452343, KIC 8689793, KOI-1893, WISE J192804.90+445234.4"
Kepler-1004 b,Kepler-1004,7.76,-3.31,3.51,Confirmed,,,,,,,0.56,0.039,0.07,5.28789787,1.198e-05,1.198e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454968.36353,0.00189,0.00189,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19492623+4947511 b, K01894.01, KIC 11673802 b, KOI-1894 b, KOI-1894.01, WISE J194926.23+494751.1 b",,297.359299,49.79755,,,11.7,11.155,11.06,1080.0,,,-0.04,0.031,0.023,1.11,0.12,0.18,3.39,0.22,0.28,,4972.0,39.52,52.3,,,"2MASS J19492623+4947511, KIC 11673802, KOI-1894, WISE J194926.23+494751.1"
Kepler-1005 b,Kepler-1005,6.17,-3.36,2.09,Confirmed,,,,,,,0.134,0.013,0.019,6.49801525,1.32e-05,1.32e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454969.00125,0.00169,0.00169,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19050864+4319136 b, K01898.01, KIC 7668663 b, KOI-1898 b, KOI-1898.01, WISE J190508.62+431913.8 b",,286.286014,43.320461,,,12.091,11.788,11.718,515.0,,,0.02,0.103,0.089,1.0,0.04,0.04,1.06,0.1,0.15,,5782.0,67.92,68.03,,,"2MASS J19050864+4319136, KIC 7668663, KOI-1898, WISE J190508.62+431913.8"
Kepler-1006 Ab,Kepler-1006 A,4.27,-2.81,6.42,Confirmed,,,,,,,0.137,0.012,0.024,19.76172042,6.67e-05,6.67e-05,,,,,,,,,,,2016,2025-02-25,,,,,,,2454968.17642,0.00267,0.00267,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19430099+4232149 b, K01899.01, KIC 7047922 b, KOI-1899 b, KOI-1899.01, WISE J194300.98+423215.0 b",,295.754127,42.537476,14.47,,13.053,12.625,12.502,496.0,,,-0.14,0.3,0.3,1.064,0.173,0.212,1.175,0.259,0.389,F7V,6327.0,542.0,291.0,,,"KIC 7047922, WISE J194300.98+423215.0, KOI-1899, 2MASS J19430099+4232149"
Kepler-1007 Ab,Kepler-1007 A,4.17,2.38,5.92,Confirmed,,,,,,,0.1026,0.0107,0.008,5.18498961,1.159e-05,1.159e-05,0.048,,,0.0,,,89.94,,,,2016,2025-11-21,,,,,,,2454964.87942,0.00155,0.00155,,,,,,,,,,0.021,0.021,0.415,,,,,,,652.0,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"KIC 9353314 b, WISE J194337.56+454832.7 b, KOI-1900 b, TIC 272074477 b, KOI-1900.01, 2MASS J19433757+4548328 b",,295.906552,45.80912,14.98,,12.94,12.326,12.224,461.91,61.53,61.53,0.23,0.013,0.013,0.73,0.04,0.03,0.7,0.03,0.03,K5V,4587.0,98.48,88.05,,,"KIC 9353314, WISE J194337.56+454832.7, KOI-1900, 2MASS J19433757+4548328"
Kepler-1008 Ab,Kepler-1008 A,6.76,-4.0,5.15,Confirmed,,,,,,,0.116,0.008,0.0054,12.43929428,5.267e-05,5.267e-05,0.0951,,,0.0,,,88.35,,,,2016,2024-08-04,,,,,,,2454969.37781,0.00187,0.00187,,,,,,,,,,0.663,0.487,0.034,,,,,,,627.0,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"WISE J194611.42+445630.6 b, Kepler-1008 b, KOI-1904 b, KOI-1904.01, K01904.01, KIC 8766650 b, 2MASS J19461140+4456309 b",,296.547525,44.941933,13.59,,11.93,11.46,11.378,282.565,1.272,1.284,0.045,0.057,0.057,0.85,0.117,0.0954,0.724,0.0363,0.0488,K0V,5066.94,149.9,77.67,,,"WISE J194611.42+445630.6, Kepler-1008, KOI-1904, KIC 8766650, 2MASS J19461140+4456309"
Kepler-1009 b,Kepler-1009,3.16,-1.6,4.49,Confirmed,,,,,,,0.194,0.021,0.024,11.35011917,2.25e-05,2.25e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454967.04543,0.00166,0.00166,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18512638+4239567 b, K01907.01, KIC 7094486 b, KOI-1907 b, KOI-1907.01, WISE J185126.37+423956.9 b",,282.85993,42.665764,,,13.192,12.518,12.347,281.0,,,-0.12,0.107,0.091,0.59,0.03,0.02,0.57,0.02,0.02,,4027.0,36.46,41.14,,,"2MASS J18512638+4239567, KIC 7094486, KOI-1907, WISE J185126.37+423956.9"
Kepler-101 b,Kepler-101,5.9,-1.2,1.2,Confirmed,0.16,0.01,0.02,,,,0.51,0.07,0.08,3.4876812,7e-06,7e-06,0.0474,0.0008,0.001,0.086,0.059,0.08,85.82,1.53,1.73,,2014,2021-02-05,231.0,90.0,32.0,,,,2455088.77995,0.00041,0.00041,,,,,,,,,,0.52,0.18,0.09,,,,19.4,1.8,1.8,1513.0,145.0,103.0,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18530131+4821188 b, K00046.01, KIC 10905239 b, KOI-46 b, KOI-46.01, WISE J185301.32+482118.9  b",,283.255489,48.355228,,,12.403,12.112,12.011,953.44,15.5,15.5,0.33,0.07,0.07,1.17,0.05,0.07,1.56,0.2,0.2,G3 IV,5667.0,50.0,50.0,,,"2MASS J18530131+4821188, KIC 10905239, KOI-46, WISE J185301.32+482118.9"
Kepler-101 c,Kepler-101,5.9,-1.2,1.2,Confirmed,0.01,,,,,,0.112,0.015,0.017,6.02976,7.5e-05,7.5e-05,0.0684,0.0014,0.0014,0.0,,,84.6,3.1,3.4,,2014,2021-02-05,90.0,,,,,,2454965.486,0.0088,0.0088,,,,,,,,,,0.75,0.36,0.13,,,,1.17,,,1413.0,210.0,238.0,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18530131+4821188 c, K00046.02, KIC 10905239 c, KOI-46 c, KOI-46.02, WISE J185301.32+482118.9  c",,283.255489,48.355228,,,12.403,12.112,12.011,953.44,15.5,15.5,0.33,0.07,0.07,1.17,0.05,0.07,1.56,0.2,0.2,G3 IV,5667.0,50.0,50.0,,,"2MASS J18530131+4821188, KIC 10905239, KOI-46, WISE J185301.32+482118.9"
Kepler-1010 Ab,Kepler-1010,4.79,-3.05,6.1,Confirmed,,,,,,,0.2177,0.018,0.0098,34.2685741,0.0001132,0.0001132,0.193,,,0.0,,,89.07,,,,2016,2025-09-05,,,,,,,2454980.05222,0.00277,0.00277,,,,,,,,,,0.677,0.455,0.217,,,,,,,477.0,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"2MASS J19164623+4408575 b, K01910.01, KIC 8226050 b, KOI-1910 b, KOI-1910.01, WISE J191646.23+440857.5 b",,289.192636,44.149326,,,13.293,12.878,12.771,579.273,7.084,7.259,-0.01,0.164,0.155,0.86,,,0.79,,,K0V,5123.0,122.0,122.0,,,"2MASS J19164623+4408575, KIC 8226050, KOI-1910, WISE J191646.23+440857.5"
Kepler-1011 b,Kepler-1011,4.47,-2.78,5.98,Confirmed,,,,,,,0.256,0.039,0.026,5.75322197,9.42e-06,9.42e-06,,,,,,,,,,,2016,2021-02-05,,,,,,,2454969.75619,0.00124,0.00124,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19493637+4649264 b, K01911.01, KIC 9965957 b, KOI-1911 b, KOI-1911.01, WISE J194936.36+464926.4 b",,297.401546,46.824001,,,13.832,13.432,13.361,860.0,,,0.08,0.161,0.154,0.91,0.04,0.04,0.88,0.05,0.09,,5416.0,130.93,95.5,,,"2MASS J19493637+4649264, KIC 9965957, KOI-1911, WISE J194936.36+464926.4"
Kepler-1012 b,Kepler-1012,3.72,-2.0,3.0,Confirmed,,,,,,,0.115,0.005,0.007,5.50860439,1.151e-05,1.151e-05,,,,,,,,,,,2016,2021-02-05,,,,,,,2454965.29848,0.00166,0.00166,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19171110+4627286 b, K01913.01, KIC 9704384 b, KOI-1913 b, KOI-1913.01, WISE J191711.09+462728.6 b",,289.29627,46.457954,,,12.064,11.755,11.664,420.0,,,0.05,0.102,0.109,0.95,0.04,0.03,0.91,0.04,0.05,,5556.0,67.52,77.89,,,"2MASS J19171110+4627286, KIC 9704384, KOI-1913, WISE J191711.09+462728.6"
